WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY
24-Mar-10,2277,2066200530,5,5,5,32.45,6.49,6.49,0,0,0
24-Mar-10,2277,2066200531,15,13,12,97.35,6.49,6.49,0,0,0
31-Mar-10,2277,2066200530,5,5,5,32.45,6.49,6.49,0,0,0
31-Mar-10,2277,2066200531,13,13,12,84.37,6.49,6.49,0,0,0
07-Apr-10,2277,2066200530,2,2,2,12.98,6.49,6.49,0,0,0
07-Apr-10,2277,2066200531,7,6,6,45.43,6.49,6.49,0,0,0
14-Apr-10,2277,2066200530,8,7,7,51.92,6.49,6.49,0,0,0
14-Apr-10,2277,2066200531,15,12,12,97.35,6.49,6.49,0,0,0
21-Apr-10,2277,2066200530,10,8,8,64.9,6.49,6.49,0,0,0
21-Apr-10,2277,2066200531,12,12,12,77.88,6.49,6.49,0,0,0
28-Apr-10,2277,2066200530,6,6,6,38.94,6.49,6.49,0,0,0
28-Apr-10,2277,2066200531,11,11,11,71.39,6.49,6.49,0,0,0
05-May-10,2277,2066200530,9,9,9,58.41,6.49,6.49,0,0,0
05-May-10,2277,2066200531,14,11,11,90.86,6.49,6.49,0,0,0
12-May-10,2277,2066200530,9,9,9,58.41,6.49,6.49,0,0,0
12-May-10,2277,2066200531,12,11,11,77.88,6.49,6.49,0,0,0
19-May-10,2277,2066200530,14,13,13,90.86,6.49,6.49,0,0,0
19-May-10,2277,2066200531,15,13,13,97.35,6.49,6.49,0,0,0
26-May-10,2277,2066200530,12,12,12,77.88,6.49,6.49,0,0,0
26-May-10,2277,2066200531,16,15,14,103.84,6.49,6.49,0,0,0
02-Jun-10,2277,2066200530,9,9,8,53.91,5.99,5.99,0,0,0
02-Jun-10,2277,2066200531,15,13,13,89.85,5.99,5.99,0,0,0
09-Jun-10,2277,2066200530,13,10,10,77.87,5.99,5.99,0,0,0
09-Jun-10,2277,2066200531,10,8,8,59.9,5.99,5.99,0,0,0
16-Jun-10,2277,2066200530,29,25,25,173.71,5.99,5.99,0,0,0
16-Jun-10,2277,2066200531,30,29,29,179.7,5.99,5.99,0,0,0
23-Jun-10,2277,2066200530,29,26,25,173.71,5.99,5.99,0,0,0
23-Jun-10,2277,2066200531,16,15,15,95.84,5.99,5.99,0,0,0
30-Jun-10,2277,2066200530,30,24,24,179.7,5.99,5.99,0,0,0
30-Jun-10,2277,2066200531,14,13,13,83.86,5.99,5.99,0,0,0
07-Jul-10,2277,2066200530,29,28,28,173.71,5.99,5.99,0,0,0
07-Jul-10,2277,2066200531,18,15,15,107.82,5.99,5.99,0,0,0
14-Jul-10,2277,2066200530,25,22,22,149.75,5.99,5.99,0,0,0
14-Jul-10,2277,2066200531,20,17,17,119.8,5.99,5.99,0,0,0
21-Jul-10,2277,2066200530,18,16,16,108.36,6.02,6.02,0,0,0
21-Jul-10,2277,2066200531,24,22,22,143.76,5.99,5.99,0,0,0
28-Jul-10,2277,2066200530,11,9,8,65.89,5.99,5.99,0,0,0
28-Jul-10,2277,2066200531,19,18,16,113.81,5.99,5.99,0,0,0
04-Aug-10,2277,2066200530,21,18,18,125.79,5.99,5.99,0,0,0
