WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY
14-Jan-09,2277,1111087395,27,25,25,85.59,3.17,3.92,0,0,1
14-Jan-09,2277,1111087396,25,21,21,82,3.28,4,0,0,1
14-Jan-09,2277,1111087398,39,31,30,128.7,3.3,3.92,0,0,1
14-Jan-09,2277,7192100336,21,19,19,127.26,6.06,6.29,1,0,0
14-Jan-09,2277,7192100337,36,31,31,215.64,5.99,6.29,1,0,0
14-Jan-09,2277,7192100339,73,67,66,438.73,6.01,6.29,1,0,0
14-Jan-09,2277,7218063052,21,20,20,135.66,6.46,6.46,0,0,0
14-Jan-09,2277,7218063979,8,7,6,51.68,6.46,6.46,0,0,0
14-Jan-09,2277,7218063983,12,9,9,77.52,6.46,6.46,0,0,0
21-Jan-09,2277,1111087395,31,21,21,102.3,3.3,3.92,0,0,1
21-Jan-09,2277,1111087396,25,18,18,83.25,3.33,4,0,0,1
21-Jan-09,2277,1111087398,42,34,34,140.28,3.34,3.92,0,0,1
21-Jan-09,2277,7192100336,14,14,14,83.86,5.99,6.29,1,1,0
21-Jan-09,2277,7192100337,21,20,20,125.79,5.99,6.29,1,0,0
21-Jan-09,2277,7192100339,53,44,44,319.06,6.02,6.29,1,1,0
21-Jan-09,2277,7218063052,16,14,14,103.36,6.46,6.46,0,0,0
21-Jan-09,2277,7218063979,13,11,11,83.98,6.46,6.46,0,0,0
21-Jan-09,2277,7218063983,13,9,9,83.98,6.46,6.46,0,0,0
28-Jan-09,2277,1111087395,26,22,22,84.5,3.25,3.92,1,0,0
28-Jan-09,2277,1111087396,24,21,21,78.96,3.29,4,1,0,0
28-Jan-09,2277,1111087398,37,26,26,117.29,3.17,3.92,1,0,0
28-Jan-09,2277,7192100336,9,9,9,55.98,6.22,6.22,0,0,0
28-Jan-09,2277,7192100337,26,26,25,163.02,6.27,6.27,0,0,0
28-Jan-09,2277,7192100339,33,28,27,207.57,6.29,6.29,0,0,0
28-Jan-09,2277,7218063052,8,8,8,51.68,6.46,6.46,0,0,0
